zip,"Estimated percent of all people age 25-34, between 2014-2018.","Estimated percent of all people age 35-44, between 2014-2018.","Estimated percent of all people age 45-54, between 2014-2018.","Estimated percent of all people age 55-64, between 2014-2018.","Estimated percent of all people 65 or older, between 2014-2018.",Estimated typical (median) age of all people between 2013-2017.
01115,16.62,12.98,12.44,12.92,14.21,33.0
01116,7.86,10.41,14.41,16.01,22.53,48.0
01118,13.094999999999999,10.7925,9.995000000000001,15.4525,16.939999999999998,37.0
01119,13.334,10.672,11.952000000000002,12.842000000000002,15.036000000000001,36.2
01128,11.123333333333335,10.353333333333333,13.416666666666666,14.87,18.823333333333334,42.666666666666664
01129,13.951666666666666,10.125,12.113333333333335,14.525,16.356666666666666,38.666666666666664
01138,16.91,14.63,11.84,11.21,7.45,31.0
01139,15.56,7.56,12.41,6.62,7.82,25.0
01144,16.62,12.98,12.44,12.92,14.21,33.0
01151,13.01,12.03,11.546666666666667,14.226666666666667,12.12,36.333333333333336
01152,5.47,12.46,14.36,18.66,13.41,44.0
01199,19.7125,11.719999999999999,8.625,10.567499999999999,11.605,31.25
01201,12.009285714285713,11.407857142857141,14.274285714285714,16.52,20.344285714285714,45.5
01202,9.61,11.42,17.73,16.3,22.15,47.0
01220,12.397499999999999,11.492500000000001,14.325,17.3075,20.635,45.75
01222,8.52,10.44,14.1,15.87,29.43,52.0
01223,11.946666666666667,9.76,14.12,21.78333333333333,20.283333333333335,49.0
01224,7.8,10.07,15.13,20.5,21.03,49.0
01225,9.23,9.969999999999999,15.684999999999999,19.85,21.85,48.5
01226,10.166666666666666,10.886666666666668,15.200000000000001,19.496666666666666,21.84,49.0
01227,9.74,11.5,15.58,19.67,21.13,49.0
01229,7.55,6.53,14.13,20.92,33.72,57.0
01230,7.3759999999999994,8.440000000000001,14.978,17.45,31.601999999999997,53.8
01235,9.835,9.685,15.5975,21.705,20.447499999999998,50.25
01236,9.136666666666665,5.973333333333334,14.413333333333334,19.71666666666667,27.99,52.0
01237,8.266666666666666,9.596666666666666,15.333333333333334,21.106666666666666,23.636666666666667,51.0
01238,8.931666666666667,9.775,13.883333333333333,16.808333333333334,30.331666666666667,53.0
01240,9.103333333333333,8.8,13.726666666666667,15.026666666666666,31.2,52.333333333333336
01242,7.69,8.46,13.42,10.46,37.9,55.0
01243,6.04,10.68,14.68,21.29,23.61,52.0
01244,6.33,7.01,18.22,20.96,30.79,58.0
01245,7.039999999999999,9.893333333333333,15.020000000000001,18.18,32.26,55.666666666666664
01247,8.202857142857143,10.895714285714288,14.787142857142856,16.127142857142857,20.99285714285714,45.42857142857143
01253,8.15,12.71,15.72,17.98,25.08,51.0
01254,8.659999999999998,6.756666666666667,14.776666666666666,18.293333333333333,31.336666666666662,54.666666666666664
01255,7.24,9.86,16.97,19.47,27.935,54.5
01256,8.475,9.46,18.985,19.71,18.565,49.5
01257,7.425,8.725,16.16,18.415,30.11,55.0
01258,6.56,7.99,17.96,17.86,33.99,56.0
01259,6.33,7.01,18.22,20.96,30.79,58.0
01260,12.07,11.41,13.63,13.7,21.98,45.0
01262,9.81,8.97,13.88,17.310000000000002,27.85,51.0
01263,7.55,6.53,14.13,20.92,33.72,57.0
01264,6.64,9.96,11.12,15.6,40.91,58.0
01266,8.38,6.37,15.903333333333334,20.016666666666666,31.69,55.666666666666664
01267,6.2625,8.29,11.1675,15.712499999999999,22.595,39.25
01270,10.120000000000001,9.66,18.0,20.57,19.025,50.0
01301,12.834999999999999,12.10375,13.344999999999999,16.2575,20.825000000000003,45.625
01302,17.29,14.88,11.6,12.88,19.46,40.0
01330,8.555,9.7075,15.89,19.3925,23.56,51.0
01331,10.792857142857143,11.728571428571428,15.610000000000001,16.861428571428572,17.671428571428574,46.0
01337,11.33,11.35,14.0,21.35,20.16,50.0
01338,8.73,10.84,13.91,18.79,25.7,52.0
01339,8.040000000000001,9.783333333333333,14.786666666666667,19.016666666666666,24.436666666666667,51.0
01340,8.435,9.92,13.375,19.08,24.855,51.0
01341,13.435,10.645,14.42,16.69,19.005000000000003,43.0
01342,11.61,9.99,14.76,17.92,20.19,47.0
01343,7.295,10.05,15.195,18.66,22.11,49.0
01344,8.93,13.26,12.96,20.82,20.06,47.0
01346,8.14,9.0,12.84,19.37,24.01,50.0
01347,11.57,13.13,16.29,15.74,21.82,49.0
01349,10.25,13.195,14.625,18.28,20.939999999999998,48.0
01350,8.14,9.0,12.84,19.37,24.01,50.0
01351,9.2,12.56,14.43,18.605,21.925,49.0
01354,11.45,12.24,15.145,18.545,20.990000000000002,49.5
01355,6.83,11.99,12.57,21.47,22.03,49.0
01360,10.719999999999999,11.285,12.920000000000002,20.835,19.29,46.5
01364,10.061666666666667,12.006666666666666,14.828333333333335,18.779999999999998,18.406666666666666,46.333333333333336
01366,10.555,12.35,18.080000000000002,16.36,17.535,46.5
01367,7.295,10.05,15.195,18.66,22.11,49.0
01368,10.525,11.434999999999999,15.235,17.195,16.104999999999997,43.5
01370,8.932500000000001,9.834999999999999,14.780000000000001,18.7425,23.375,50.0
01373,15.615,10.885,12.995000000000001,16.205000000000002,17.3,41.0
01375,19.62,11.78,11.23,14.49,14.41,35.0
01376,14.405,12.71,14.204999999999998,14.370000000000001,20.465,45.0
01378,8.93,13.26,12.96,20.82,20.06,47.0
01379,7.88,12.625,12.765,21.145,21.045,48.0
01380,8.93,13.26,12.96,20.82,20.06,47.0
